Flight_ID,Airline,Origin,Destination,Departure_Date,Seat_Class,Days_to_Departure,Layovers,Layover_Airport1,Layover_Airport2,Price
FL00001,United,MIA,BOS,07-11-2024,Economy,46,1,MDW,NA,1012.56
FL00002,United,DEN,ATL,22-07-2024,Business,109,2,MCO,LAX,997.18
FL00003,Endeavor Air,BOS,SFO,02-12-2024,Business,4,0,NA,NA,1201.47
FL00004,Delta,DEN,ORD,19-03-2024,Economy,58,0,NA,NA,341.92
FL00005,Alaska Airlines,CLT,DEN,14-05-2024,Economy,159,1,SFO,NA,447.85
FL00006,Republic Airways,SFO,LAS,19-10-2024,Business,18,0,NA,NA,1322.93
FL00007,JetBlue,DFW,IAH,27-03-2024,First Class,26,0,NA,NA,1314.56
FL00008,Southwest,MDW,LAX,06-10-2024,Business,105,2,DCA,BOS,1239.22
FL00009,Alaska Airlines,BOS,DFW,26-08-2024,Business,77,0,NA,NA,813.74
FL00010,SkyWest Airlines,DTW,JFK,07-04-2024,First Class,80,0,NA,NA,1437.32
FL00011,Endeavor Air,EWR,PHX,05-04-2024,Economy,83,1,SEA,NA,794.53
FL00012,Republic Airways,MCO,MDW,25-10-2024,Economy,130,0,NA,NA,461.58
FL00013,JetBlue,SFO,MDW,23-06-2024,Business,142,0,NA,NA,873.18
FL00014,United,DFW,BWI,04-09-2024,Business,90,1,SFO,NA,1119.6
FL00015,Republic Airways,DCA,SFO,13-10-2024,First Class,64,1,DFW,NA,1924.38
FL00016,SkyWest Airlines,SFO,MIA,10-08-2024,Business,1,2,BOS,DTW,1506.2
FL00017,Hawaiian Airlines,CLT,DTW,30-06-2024,Business,108,0,NA,NA,581.59
FL00018,SkyWest Airlines,MIA,CLT,04-03-2024,Business,82,1,SFO,NA,929.77
FL00019,SkyWest Airlines,BWI,MCO,17-03-2024,Economy,173,1,DEN,NA,491.48
FL00020,United,ATL,SEA,18-06-2024,Business,177,1,DEN,NA,414.33
FL00021,Frontier Airlines,MCO,ORD,09-09-2024,Business,132,1,SFO,NA,683.75
FL00022,Endeavor Air,DCA,BOS,05-09-2024,Economy,135,2,SFO,BWI,530.84
FL00023,Spirit Airlines,CLT,DTW,18-01-2025,First Class,175,0,NA,NA,875.49
FL00024,Endeavor Air,CLT,MCO,14-10-2024,First Class,178,2,DCA,DEN,1375.39
FL00025,SkyWest Airlines,IAH,PHX,05-09-2024,Business,57,2,DFW,MDW,1184.42
FL00026,United,DCA,SEA,20-11-2024,Business,87,1,PHX,NA,1080.32
FL00027,Southwest,MDW,PHX,30-10-2024,First Class,147,1,LAX,NA,1782.04
FL00028,American Airlines,SEA,ATL,01-05-2024,Business,142,0,NA,NA,392.4
FL00029,Republic Airways,MIA,EWR,19-10-2024,Economy,82,1,DEN,NA,1169.97
FL00030,Spirit Airlines,ATL,DTW,07-01-2025,Business,6,1,BOS,NA,1208.25
FL00031,JetBlue,JFK,LAX,05-10-2024,Business,31,2,DFW,SEA,1754.47
FL00032,Hawaiian Airlines,LAS,ATL,15-07-2024,Economy,177,1,MIA,NA,364.76
FL00033,Endeavor Air,BOS,SEA,27-07-2024,First Class,180,0,NA,NA,679.56
FL00034,Spirit Airlines,CLT,ORD,29-07-2024,Economy,144,0,NA,NA,412.13
FL00035,SkyWest Airlines,MCO,EWR,11-11-2024,Business,133,0,NA,NA,749.26
